pr_id,pr_url,issue_id,issue_url,non_test_code_changes,agent_result,agent_comment
1186,https://github.com/alibaba/fluss/pull/1186,1183,https://github.com/alibaba/fluss/issues/1183,264,Good PR,"The issue clearly describes a specific and actionable bug with sufficient context and evidence, and it is not a request to revert changes or a vague question."
1187,https://github.com/alibaba/fluss/pull/1187,1185,https://github.com/alibaba/fluss/issues/1185,84,Good PR,"The issue clearly describes a reproducible bug with step-by-step actions and detailed context around the thread safety concern. It doesn't simply ask a question or request for documentation, nor does it request a reversion. The provided analysis and the willingness to submit a PR further support that it is actionable."
1041,https://github.com/alibaba/fluss/pull/1041,871,https://github.com/alibaba/fluss/issues/871,572,Not Checked,
588,https://github.com/alibaba/fluss/pull/588,485,https://github.com/alibaba/fluss/issues/485,1348,Not Checked,
1102,https://github.com/alibaba/fluss/pull/1102,1101,https://github.com/alibaba/fluss/issues/1101,35,Not Checked,
1067,https://github.com/alibaba/fluss/pull/1067,1064,https://github.com/alibaba/fluss/issues/1064,474,Not Checked,
1069,https://github.com/alibaba/fluss/pull/1069,1070,https://github.com/alibaba/fluss/issues/1070,190,Not Checked,
1062,https://github.com/alibaba/fluss/pull/1062,877,https://github.com/alibaba/fluss/issues/877,301,Not Checked,
990,https://github.com/alibaba/fluss/pull/990,876,https://github.com/alibaba/fluss/issues/876,1006,Not Checked,
1024,https://github.com/alibaba/fluss/pull/1024,953,https://github.com/alibaba/fluss/issues/953,69,Not Checked,
853,https://github.com/alibaba/fluss/pull/853,438,https://github.com/alibaba/fluss/issues/438,992,Not Checked,
930,https://github.com/alibaba/fluss/pull/930,901,https://github.com/alibaba/fluss/issues/901,542,Not Checked,
927,https://github.com/alibaba/fluss/pull/927,900,https://github.com/alibaba/fluss/issues/900,278,Not Checked,
904,https://github.com/alibaba/fluss/pull/904,875,https://github.com/alibaba/fluss/issues/875,1007,Not Checked,
956,https://github.com/alibaba/fluss/pull/956,955,https://github.com/alibaba/fluss/issues/955,53,Not Checked,
958,https://github.com/alibaba/fluss/pull/958,836,https://github.com/alibaba/fluss/issues/836,57,Not Checked,
920,https://github.com/alibaba/fluss/pull/920,873,https://github.com/alibaba/fluss/issues/873,508,Not Checked,
934,https://github.com/alibaba/fluss/pull/934,933,https://github.com/alibaba/fluss/issues/933,66,Not Checked,
878,https://github.com/alibaba/fluss/pull/878,810,https://github.com/alibaba/fluss/issues/810,45,Not Checked,
843,https://github.com/alibaba/fluss/pull/843,847,https://github.com/alibaba/fluss/issues/847,206,Not Checked,
780,https://github.com/alibaba/fluss/pull/780,433,https://github.com/alibaba/fluss/issues/433,773,Not Checked,
811,https://github.com/alibaba/fluss/pull/811,688,https://github.com/alibaba/fluss/issues/688,111,Not Checked,
815,https://github.com/alibaba/fluss/pull/815,804,https://github.com/alibaba/fluss/issues/804,44,Not Checked,
766,https://github.com/alibaba/fluss/pull/766,712,https://github.com/alibaba/fluss/issues/712,132,Not Checked,
736,https://github.com/alibaba/fluss/pull/736,735,https://github.com/alibaba/fluss/issues/735,82,Not Checked,
728,https://github.com/alibaba/fluss/pull/728,703,https://github.com/alibaba/fluss/issues/703,692,Not Checked,
731,https://github.com/alibaba/fluss/pull/731,704,https://github.com/alibaba/fluss/issues/704,127,Not Checked,
693,https://github.com/alibaba/fluss/pull/693,687,https://github.com/alibaba/fluss/issues/687,109,Not Checked,
681,https://github.com/alibaba/fluss/pull/681,666,https://github.com/alibaba/fluss/issues/666,374,Not Checked,
679,https://github.com/alibaba/fluss/pull/679,605,https://github.com/alibaba/fluss/issues/605,247,Not Checked,
672,https://github.com/alibaba/fluss/pull/672,671,https://github.com/alibaba/fluss/issues/671,73,Not Checked,
664,https://github.com/alibaba/fluss/pull/664,662,https://github.com/alibaba/fluss/issues/662,170,Not Checked,
668,https://github.com/alibaba/fluss/pull/668,623,https://github.com/alibaba/fluss/issues/623,23,Not Checked,
658,https://github.com/alibaba/fluss/pull/658,529,https://github.com/alibaba/fluss/issues/529,46,Not Checked,
654,https://github.com/alibaba/fluss/pull/654,543,https://github.com/alibaba/fluss/issues/543,112,Not Checked,
656,https://github.com/alibaba/fluss/pull/656,633,https://github.com/alibaba/fluss/issues/633,163,Not Checked,
284,https://github.com/alibaba/fluss/pull/284,274,https://github.com/alibaba/fluss/issues/274,98,Not Checked,
652,https://github.com/alibaba/fluss/pull/652,561,https://github.com/alibaba/fluss/issues/561,45,Not Checked,
579,https://github.com/alibaba/fluss/pull/579,570,https://github.com/alibaba/fluss/issues/570,402,Not Checked,
634,https://github.com/alibaba/fluss/pull/634,624,https://github.com/alibaba/fluss/issues/624,145,Not Checked,
638,https://github.com/alibaba/fluss/pull/638,636,https://github.com/alibaba/fluss/issues/636,189,Not Checked,
205,https://github.com/alibaba/fluss/pull/205,132,https://github.com/alibaba/fluss/issues/132,229,Not Checked,
324,https://github.com/alibaba/fluss/pull/324,323,https://github.com/alibaba/fluss/issues/323,523,Not Checked,
548,https://github.com/alibaba/fluss/pull/548,550,https://github.com/alibaba/fluss/issues/550,360,Not Checked,
362,https://github.com/alibaba/fluss/pull/362,343,https://github.com/alibaba/fluss/issues/343,755,Not Checked,
407,https://github.com/alibaba/fluss/pull/407,135,https://github.com/alibaba/fluss/issues/135,95,Not Checked,
394,https://github.com/alibaba/fluss/pull/394,389,https://github.com/alibaba/fluss/issues/389,25,Not Checked,
297,https://github.com/alibaba/fluss/pull/297,296,https://github.com/alibaba/fluss/issues/296,184,Not Checked,
427,https://github.com/alibaba/fluss/pull/427,412,https://github.com/alibaba/fluss/issues/412,36,Not Checked,
376,https://github.com/alibaba/fluss/pull/376,375,https://github.com/alibaba/fluss/issues/375,111,Not Checked,
371,https://github.com/alibaba/fluss/pull/371,373,https://github.com/alibaba/fluss/issues/373,449,Not Checked,
366,https://github.com/alibaba/fluss/pull/366,358,https://github.com/alibaba/fluss/issues/358,58,Not Checked,
360,https://github.com/alibaba/fluss/pull/360,363,https://github.com/alibaba/fluss/issues/363,630,Not Checked,
